Seed, tf, trc, s
21830, 106, 46, 1
21831, 106, 46, 1
21832, 106, 42, 1
21833, 90, 32, 1
21834, 94, 48, 1
21835, 92, 28, 1
21836, 104, 38, 1
21837, 100, 40, 1
21838, 92, 42, 1
21839, 106, 44, 1
21840, 90, 36, 1
21841, 98, 40, 1
21842, 86, 36, 1
21843, 92, 32, 1
21844, 90, 44, 1
21845, 88, 34, 1
21846, 102, 44, 1
21847, 98, 40, 1
21848, 102, 34, 1
21849, 98, 36, 1
21850, 92, 32, 1
21851, 102, 38, 1
21852, 90, 38, 1
21853, 106, 40, 1
21854, 98, 36, 1
21855, 112, 48, 1
21856, 88, 34, 1
21857, 86, 38, 1
21858, 100, 44, 1
21859, 94, 32, 1
21860, 92, 32, 1
21861, 100, 46, 1
21862, 88, 28, 1
21863, 96, 38, 1
21864, 118, 42, 1
21865, 78, 38, 1
21866, 98, 50, 1
21867, 100, 44, 1
21868, 90, 34, 1
21869, 114, 42, 1
21870, 88, 34, 1
21871, 96, 30, 1
21872, 108, 48, 1
21873, 104, 46, 1
21874, 104, 34, 1
21875, 96, 40, 1
21876, 104, 40, 1
21877, 94, 42, 1
21878, 96, 42, 1
21879, 96, 38, 1
21880, 108, 38, 1
21881, 102, 48, 1
21882, 90, 34, 1
21883, 102, 50, 1
21884, 88, 36, 1
21885, 102, 38, 1
21886, 86, 32, 1
21887, 92, 40, 1
21888, 88, 40, 1
21889, 110, 40, 1
21890, 96, 38, 1
21891, 88, 38, 1
21892, 84, 28, 1
21893, 112, 42, 1
21894, 86, 38, 1
21895, 108, 42, 1
21896, 98, 38, 1
21897, 96, 26, 1
21898, 92, 32, 1
21899, 82, 38, 1
21900, 94, 36, 1
21901, 112, 48, 1
21902, 100, 38, 1
21903, 90, 36, 1
21904, 96, 36, 1
21905, 94, 36, 1
21906, 104, 44, 1
21907, 94, 54, 1
21908, 94, 38, 1
21909, 86, 34, 1
21910, 102, 36, 1
21911, 94, 44, 1
21912, 100, 44, 1
21913, 94, 42, 1
21914, 110, 44, 1
21915, 96, 46, 1
21916, 96, 38, 1
21917, 126, 56, 1
21918, 106, 44, 1
21919, 96, 44, 1
21920, 94, 42, 1
21921, 88, 32, 1
21922, 92, 30, 1
21923, 98, 34, 1
21924, 96, 32, 1
21925, 98, 46, 1
21926, 100, 42, 1
21927, 110, 56, 1
21928, 108, 50, 1
21929, 98, 42, 1
21930, 92, 32, 1
21931, 88, 32, 1
21932, 86, 22, 1
21933, 90, 38, 1
21934, 92, 44, 1
21935, 104, 34, 1
21936, 92, 36, 1
21937, 92, 32, 1
21938, 94, 50, 1
21939, 92, 28, 1
21940, 94, 44, 1
21941, 92, 34, 1
21942, 110, 46, 1
21943, 102, 52, 1
21944, 98, 40, 1
21945, 80, 28, 1
21946, 94, 30, 1
21947, 98, 42, 1
21948, 98, 44, 1
21949, 90, 26, 1
21950, 102, 36, 1
21951, 102, 34, 1
21952, 98, 42, 1
21953, 108, 32, 1
21954, 108, 54, 1
21955, 86, 30, 1
21956, 100, 32, 1
21957, 96, 34, 1
21958, 84, 38, 1
21959, 114, 50, 1
21960, 84, 22, 1
21961, 104, 40, 1
21962, 104, 42, 1
21963, 88, 22, 1
21964, 90, 34, 1
21965, 94, 48, 1
21966, 106, 44, 1
21967, 100, 34, 1
21968, 96, 36, 1
21969, 100, 46, 1
21970, 86, 40, 1
21971, 96, 44, 1
21972, 82, 46, 1
21973, 104, 40, 1
21974, 94, 32, 1
21975, 84, 36, 1
21976, 100, 58, 1
21977, 92, 40, 1
21978, 104, 38, 1
21979, 82, 30, 1
21980, 82, 32, 1
21981, 84, 40, 1
21982, 104, 48, 1
21983, 92, 46, 1
21984, 102, 36, 1
21985, 92, 32, 1
21986, 96, 38, 1
21987, 96, 40, 1
21988, 110, 40, 1
21989, 92, 32, 1
21990, 94, 32, 1
21991, 90, 32, 1
21992, 104, 48, 1
21993, 96, 36, 1
21994, 84, 40, 1
21995, 96, 36, 1
21996, 94, 42, 1
21997, 118, 46, 1
21998, 92, 36, 1
21999, 102, 40, 1
22000, 94, 34, 1
22001, 96, 36, 1
22002, 100, 42, 1
22003, 92, 36, 1
22004, 86, 38, 1
22005, 84, 34, 1
22006, 96, 40, 1
22007, 96, 36, 1
22008, 88, 32, 1
22009, 102, 48, 1
22010, 104, 48, 1
22011, 98, 40, 1
22012, 78, 34, 1
22013, 94, 40, 1
22014, 90, 34, 1
22015, 94, 48, 1
22016, 112, 44, 1
22017, 102, 50, 1
22018, 94, 36, 1
22019, 82, 28, 1
22020, 80, 42, 1
22021, 100, 42, 1
